@relation 'bad_mem_access_and_false_sharing-weka.filters.unsupervised.attribute.Remove-R3-8,10-13,15'

@attribute r0149 numeric
@attribute r0151 numeric
@attribute r20f0 numeric
@attribute r04b8 numeric
@attribute status {good,badfs,badma}

@data
33316.930516,4138744.69101,4230431.95549,42.646623,good
34706.017824,4157437.27487,4205688.15508,63.12935,good
808559.290182,55587802.5585,102025539.525,6.745702,badma
4029.047621,4185865.15817,4230987.37558,610.995453,good
5736.584764,8700101.33577,9224256.52124,2428814.33129,badfs
4302.71241,55598861.9829,105110334.868,184.208706,badma
4529.542798,4252176.38401,4385441.1911,614.414143,good
10565.166261,9579104.44481,10013556.535,2863741.67599,badfs
5777.264235,56481069.4941,94089867.5059,209.858501,badma
5453.706932,4315772.18096,3957658.15539,501.661883,good
12046.267668,9794537.12611,9994010.0354,2853591.29263,badfs
5839.174309,56078018.398,82877704.9861,258.948487,badma
6380.97151,4421537.58908,3481188.60957,479.935196,good
22977.614041,9737263.62585,10241162.2787,2918835.80067,badfs
5263.126395,55860734.9209,73549813.7613,433.320947,badma
17988.819267,4110323.739,4074777.97094,84.189037,good
16908.78562,4109949.71242,4070428.45645,111.978713,good
364354.247603,55635766.4768,107163733.327,1220.749295,badma
5249.656964,4055943.35344,4064986.31092,647.860892,good
12407.650605,8685812.04964,9077580.78059,2481777.24009,badfs
8128.52196,55176473.6194,100599770.889,1005.679155,badma
6451.080241,4089896.81056,3729575.80709,421.905757,good
10753.25468,9524970.13025,10011436.9964,2825979.04839,badfs
7166.190861,55149698.7117,95869175.997,567.617685,badma
6503.188737,4084120.57829,4174791.67017,681.386766,good
11137.838438,9600304.76672,9913318.72533,2840612.19257,badfs
7964.441488,55206652.9077,86938842.3138,757.012603,badma
4820.478344,4094961.09304,4003201.59276,835.797371,good
12362.255315,9748353.00685,10169560.2259,2885332.75726,badfs
5407.110322,55260088.4786,78780871.7309,903.594076,badma
3141.735322,4124179.79637,4133907.78833,115.03674,good
3013.97381,4102441.66597,4122257.63921,85.756678,good
41041.031262,55518306.9812,106470184.328,1315.818562,badma
2489.560808,4084598.15916,4135370.49861,870.9623,good
4685.430605,8500765.81389,9005922.49015,2358075.72747,badfs
8976.199734,55499852.539,98125571.9368,2489.294631,badma
2225.119921,4108691.1852,4204487.29471,913.970196,good
7893.941628,9501757.47347,9952092.61521,2778279.64139,badfs
10831.232635,55535004.5026,91267253.1829,5390.048923,badma
1699.528567,4174989.91001,4137081.35303,707.02121,good
10096.908968,9605072.98897,10033083.2296,2819702.60811,badfs
14526.843464,55653918.1829,89062239.7808,8822.690849,badma
2558.50833,4135188.284,4159725.93838,763.412645,good
15586.991723,9709716.31572,9992001.57183,2843996.7563,badfs
18910.093121,55513764.6999,87903441.0267,9541.183316,badma
3152.398448,4123694.8168,4127554.1011,109.777488,good
2569.216755,4122417.79468,4123303.51063,84.101013,good
39748.352481,55520917.9486,106277605.895,1257.166847,badma
1811.049901,4118042.11991,4108941.6465,802.176732,good
6933.31244,8644780.51267,9166636.83501,2465688.58771,badfs
12016.254559,55509201.0363,97085706.843,3077.89977,badma
2163.907358,4123943.94405,4116879.69925,674.270111,good
8917.7981,9450706.28294,9912686.53082,2771266.84077,badfs
15289.459478,55518683.1563,88407364.3052,6294.452884,badma
2164.55806,4123032.55856,4141253.67928,678.864824,good
10575.796638,9585845.9711,9954422.05619,2818161.32141,badfs
20713.373842,55533800.5642,86084320.8178,10033.268609,badma
1575.296014,4138500.52452,4165020.49185,837.080891,good
14369.198875,9683050.24324,9987652.43322,2842229.63403,badfs
22098.139758,55593886.6829,85438649.1443,11793.314739,badma
2911.165319,4128026.51914,4118844.83855,107.369358,good
2304.587046,4125016.67245,4125191.10737,137.196184,good
37450.489048,55503039.7347,106143868.966,1371.754285,badma
1694.458832,4129690.23954,4121578.946,595.202366,good
5301.979988,8532458.29111,9025079.72493,2388465.24716,badfs
10254.976734,55525354.9731,97594336.9278,2892.18152,badma
1345.860298,4135986.11746,4128009.46082,662.104432,good
7135.280172,9453870.22407,9890691.92388,2761167.26878,badfs
13963.779223,55504186.1218,88853951.9759,5971.244921,badma
1994.999143,4123946.24191,4118944.994,555.918096,good
8944.724998,9597183.01528,9943486.0231,2815700.10207,badfs
15451.120617,55509829.3118,86015332.5369,10193.895598,badma
1810.361528,4133925.7736,4096525.30811,707.975749,good
13387.548088,9679863.36062,9971517.90533,2844677.38205,badfs
20507.186432,55542236.9493,84391348.8367,12800.770188,badma
1909.986755,4194985.88322,4157201.22253,81.132908,good
2330.235774,4195676.56256,4154972.27178,103.309113,good
24476.976874,55437338.8458,106479145.48,1220.232979,badma
1905.304836,4192711.32867,4151183.41913,660.97777,good
4548.921464,8565866.22451,9014944.32329,2354899.36767,badfs
10325.990312,55424835.1912,97460847.9174,2814.986551,badma
1407.687699,4191659.22585,4151812.74675,620.648588,good
6398.730903,9503645.86827,9917922.37049,2753652.02631,badfs
16530.325486,55439558.1118,89006397.1795,5793.418536,badma
1507.199761,4195054.04651,4164160.55354,751.854706,good
8554.564248,9638164.6572,9943007.48885,2793735.38631,badfs
22051.047311,55458572.5364,86011871.0872,8422.394388,badma
1934.266601,4198902.48634,4176960.1952,797.071595,good
14982.809453,9735646.04607,9976616.93314,2829339.39127,badfs
26903.230462,55478139.5017,84557963.0353,11764.385726,badma
1813.746006,4197063.10196,4153983.73622,77.316903,good
2124.005343,4197295.30128,4153466.07655,82.010009,good
14729.801319,55429737.2631,105869034.105,1297.002418,badma
1619.172609,4196927.61188,4151612.45018,465.026332,good
4028.321154,8569013.31952,9005839.86191,2353041.09267,badfs
11274.762268,55443680.3147,97419024.9832,3093.410913,badma
1477.288933,4198425.61925,4152865.99876,672.752588,good
8426.025376,9495656.63944,9909722.78103,2746421.10528,badfs
14974.463629,55440000.4422,88890084.2944,5979.754263,badma
1429.116485,4195601.19074,4154708.62667,606.599243,good
10841.038624,9650360.48777,9966650.94645,2808009.28595,badfs
21904.337839,55452921.8166,85918500.7985,9967.756061,badma
1990.858799,4195658.34721,4156114.75905,809.595189,good
15614.521893,9741201.39717,9989891.174,2834181.76572,badfs
27436.574522,55468803.3368,84307467.7442,11856.190686,badma
4894.961793,24387.595498,1222.258666,250.632882,good
4910.168661,24153.544868,2067.305823,177.705372,good
6689.151355,29718.647503,3422.691281,696.054486,good
8898.546116,1775980.06495,3506564.11053,1688613.52931,badfs
7548.99815,36980.26605,3853.821186,527.821663,good
13280.366254,2043190.63002,3895122.71751,2033194.87213,badfs
9898.402955,46808.084501,2916.3531,681.092535,good
13225.752865,2629114.49282,4772582.85801,1937612.61632,badfs
13392.518346,65159.276291,21828.201088,538.517192,good
18014.872822,3296064.66579,5279228.56565,1791170.62165,badfs
4218.62244,14291.544009,1970.328038,157.668232,good
3813.117286,21200.43918,1277.23555,153.518909,good
4287.783197,17526.841229,4514.862058,552.537359,good
4459.405411,1851820.70969,3399438.59991,1761923.67996,badfs
4140.326635,20464.436909,3133.409381,494.972177,good
7474.712406,2045998.44832,3721536.90497,1961156.94618,badfs
5062.332165,24736.215785,2645.377366,702.394039,good
10495.140319,2644049.30817,4878730.71839,1920389.21033,badfs
3947.106201,27981.054233,5507.22377,363.342019,good
10617.660932,3168739.97677,5342358.2891,1881516.20899,badfs
1955.444217,7490.10553,362.338438,96.751363,good
1736.191596,7621.151616,501.89068,116.968874,good
1725.67404,12169.031032,3423.374652,444.962873,good
5543.011966,1795550.07776,3315797.97779,1678733.61285,badfs
2104.683295,10743.893468,3408.842186,522.927276,good
5477.349833,2013090.31651,3746988.82741,1973748.33833,badfs
